Rank,Company,Industry,City,State,Number of Employees,Revenue (millions),Valuation (millions),Profits (millions),Profits (% of Sales),Ticker,CEO
209,Becton Dickinson,Medical Products and Equipment,Franklin Lakes,New Jersey,"77,000","$19,408","$70,277","$1,779",9.2,BDX,Tom Polen
210,BJ's Wholesale Club,General Merchandisers,Marlborough,Massachusetts,"34,000","$19,315","$10,186",$513,2.7,BJ,Robert W. Eddy
211,Moderna,Pharmaceuticals,Cambridge,Massachusetts,"3,900","$19,263","$59,232","$8,362",43.4,MRNA,Stephane Bancel
212,DTE Energy,Utilities: Gas and Electric,Detroit,Michigan,"10,250","$19,228","$22,577","$1,083",5.6,DTE,Gerardo Norcia
213,Land O'Lakes,Food Consumer Products,Arden Hills,Minnesota,"9,000","$19,226",,$241,1.3,,Beth E. Ford
214,Kinder Morgan,Pipelines,Houston,Texas,"10,525","$19,200","$39,363","$2,548",13.3,KMI,Steven J. Kean
215,Tenet Healthcare,Health Care: Medical Facilities,Dallas,Texas,"89,088","$19,174","$6,077",$411,2.1,THC,Saum Sutaria
216,Devon Energy,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,"1,800","$19,169","$33,099","$6,015",31.4,DVN,Richard E. Muncrief
217,Mosaic,Chemicals,Tampa,Florida,"13,570","$19,125","$15,438","$3,583",18.7,MOS,James C. O'Rourke
218,Exelon,Utilities: Gas and Electric,Chicago,Illinois,"19,063","$19,078","$41,651","$2,170",11.4,EXC,Calvin G. Butler
219,General Mills,Food Consumer Products,Minneapolis,Minnesota,"32,500","$18,993","$50,195","$2,707",14.3,GIS,Jeffrey L. Harmening
220,Global Partners,Wholesalers: Diversified,Waltham,Massachusetts,"3,585","$18,878","$1,055",$362,1.9,GLP,Eric Slifka
221,Western Digital,"Computers, Office Equipment",San Jose,California,"65,000","$18,793","$12,029","$1,500",8,WDC,David V. Goeckeler
222,Lincoln National,"Insurance: Life, Health (Stock)",Radnor,Pennsylvania,"11,316","$18,766","$3,802","-$2,241",-11.9,LNC,Ellen G. Cooper
223,Ross Stores,Specialty Retailers: Apparel,Dublin,California,"101,000","$18,696","$36,302","$1,512",8.1,ROST,Barbara Rentler
224,Stryker,Medical Products and Equipment,Kalamazoo,Michigan,"51,000","$18,449","$108,228","$2,358",12.8,SYK,Kevin A. Lobo
225,Kyndryl Holdings,Information Technology Services,New York,New York,"90,000","$18,317","$3,358","-$2,054",-11.2,KD,Martin J. Schroeter
226,Kohl's,General Merchandisers,Menomonee Falls,Wisconsin,"66,500","$18,098","$2,607",-$19,-0.1,KSS,Tom Kingsbury
227,Stanley Black & Decker,"Home Equipment, Furnishings",New Britain,Connecticut,"54,200","$18,004","$12,333","$1,063",5.9,SWK,Donald Allan
228,Colgate-Palmolive,Household and Personal Products,New York,New York,"33,800","$17,967","$62,535","$1,785",9.9,CL,Noel R. Wallace
229,BlackRock,Securities,New York,New York,"19,800","$17,873","$100,526","$5,178",29,BLK,
230,Fiserv,Financial Data Services,Brookfield,Wisconsin,"41,000","$17,737","$70,997","$2,530",14.3,FISV,Frank J. Bisignano
230,Estée Lauder,Household and Personal Products,New York,New York,"53,865","$17,737","$88,041","$2,390",13.5,EL,Fabrizio Freda
232,PPG Industries,Chemicals,Pittsburgh,Pennsylvania,"52,000","$17,652","$31,439","$1,026",5.8,PPG,Timothy M. Knavish
233,Adobe,Computer Software,San Jose,California,"29,239","$17,606","$176,769","$4,756",27,ADBE,Shantanu Narayen
234,Block,Financial Data Services,San Francisco,California,"12,428","$17,532","$41,329",-$541,-3.1,SQ,Jack Dorsey
235,Synchrony Financial,Diversified Financials,Stamford,Connecticut,"18,500","$17,526","$12,709","$3,016",17.2,SYF,Brian D. Doubles
236,Principal Financial,"Insurance: Life, Health (Stock)",Des Moines,Iowa,"19,300","$17,492","$18,068","$4,812",27.5,PFG,
237,Lumen Technologies,Telecommunications,Monroe,Louisiana,"29,000","$17,478","$2,654","-$1,548",-8.9,LUMN,Kathleen E. Johnson
238,Corteva,Food Production,Indianapolis,Indiana,"21,000","$17,455","$42,977","$1,147",6.6,CTVA,Chuck Magro
239,Andersons,Food Production,Maumee,Ohio,"2,244","$17,351","$1,396",$131,0.8,ANDE,Patrick E. Bowe
240,Lam Research,Semiconductors and Other Electronic Components,Fremont,California,"17,700","$17,227","$71,532","$4,605",26.7,LRCX,Timothy M. Archer
241,Edison International,Utilities: Gas and Electric,Rosemead,California,"13,110","$17,220","$27,010",$612,3.6,EIX,Pedro J. Pizarro
242,Dominion Energy,Utilities: Gas and Electric,Richmond,Virginia,"17,200","$17,174","$46,699",$994,5.8,D,Robert M. Blue
243,Booking Holdings,Internet Services and Retailing,Norwalk,Connecticut,"21,492","$17,090","$99,859","$3,058",17.9,BKNG,Glenn D. Fogel
244,Quanta Services,Engineering & Construction,Houston,Texas,"47,300","$17,074","$23,996",$491,2.9,PWR,"Earl C. ""Duke"" Austin"
245,Expeditors International of Washington,Transportation and Logistics,Seattle,Washington,"20,302","$17,071","$17,009","$1,357",8,EXPD,Jeff Musser
246,L3Harris Technologies,Aerospace & Defense,Melbourne,Florida,"46,000","$17,062","$37,277","$1,062",6.2,LHX,
247,Reliance Steel & Aluminum,Metals,Scottsdale,Arizona,"14,750","$17,025","$15,142","$1,840",10.8,RS,Karla R. Lewis
248,Live Nation Entertainment,Entertainment,Beverly Hills,California,"20,550","$16,681","$16,211",$296,1.8,LYV,Michael Rapino
249,DISH Network,Telecommunications,Englewood,Colorado,"14,200","$16,679","$4,956","$2,303",13.8,DISH,Erik Carlson
250,DuPont,Chemicals,Wilmington,Delaware,"23,000","$16,549","$32,895","$5,868",35.5,DD,Edward D. Breen
251,Automatic Data Processing,Diversified Outsourcing Services,Roseland,New Jersey,"60,000","$16,498","$92,247","$2,949",17.9,ADP,Maria Black
252,Group 1 Automotive,"Automotive Retailing, Services",Houston,Texas,"15,491","$16,412","$3,194",$752,4.6,GPI,Daryl Kenningham
253,Aramark,Diversified Outsourcing Services,Philadelphia,Pennsylvania,"273,875","$16,327","$9,326",$195,1.2,ARMK,John J. Zillmer
254,Thor Industries,Motor Vehicles & Parts,Elkhart,Indiana,"32,000","$16,313","$4,262","$1,138",7,THO,
255,DXC Technology,Information Technology Services,Ashburn,Virginia,"130,000","$16,265","$5,820",$718,4.4,DXC,
256,Viatris,Pharmaceuticals,Canonsburg,Pennsylvania,"37,000","$16,263","$11,513","$2,079",12.8,VTRS,Scott A. Smith
257,Reinsurance Group of America,"Insurance: Life, Health (Stock)",Chesterfield,Montana,"3,800","$16,258","$8,876",$623,3.8,RGA,
258,AutoZone,Specialty Retailers: Other,Memphis,Tennessee,"90,720","$16,252","$45,224","$2,430",14.9,AZO,William C. Rhodes Iii
259,PulteGroup,Homebuilders,Atlanta,Georgia,"6,524","$16,229","$13,073","$2,617",16.1,PHM,Ryan R. Marshall
260,Illinois Tool Works,Industrial Machinery,Glenview,Illinois,"46,000","$15,932","$74,209","$3,034",19,ITW,Scott Santi
261,Parker-Hannifin,Industrial Machinery,Cleveland,Ohio,"55,090","$15,862","$43,112","$1,316",8.3,PH,Jennifer A. Parmentier
262,BorgWarner,Motor Vehicles & Parts,Auburn Hills,Michigan,"52,700","$15,801","$11,481",$944,6,BWA,Frederic B. Lissalde
263,Westlake,Chemicals,Houston,Texas,"15,920","$15,794","$14,812","$2,247",14.2,WLK,Albert Yuan Chao
264,Consolidated Edison,Utilities: Gas and Electric,New York,New York,"14,319","$15,670","$33,967","$1,660",10.6,ED,Timothy P. Cawley
265,Gap,Specialty Retailers: Apparel,San Francisco,California,"95,000","$15,616","$3,693",-$202,-1.3,GPS,Bobby Martin
266,Opendoor Technologies,Internet Services and Retailing,Tempe,Arizona,"2,570","$15,567","$1,131","-$1,353",-8.7,OPEN,Carrie Wheeler
267,Nordstrom,General Merchandisers,Seattle,Washington,"60,000","$15,530","$2,606",$245,1.6,JWN,Erik B. Nordstrom
268,Asbury Automotive Group,"Automotive Retailing, Services",Duluth,Georgia,"13,000","$15,434","$4,557",$997,6.5,ABG,David W. Hult
269,Ball,"Packaging, Containers",Westminster,Colorado,"21,000","$15,349","$17,326",$719,4.7,BALL,Dan Fisher
270,Kellogg,Food Consumer Products,Battle Creek,Michigan,"30,000","$15,315","$22,945",$960,6.3,K,Steven A. Cahillane
271,Xcel Energy,Utilities: Gas and Electric,Minneapolis,Minnesota,"11,982","$15,310","$37,082","$1,736",11.3,XEL,Bob Frenzel
272,W.W. Grainger,Wholesalers: Diversified,Lake Forest,Illinois,"24,500","$15,228","$34,622","$1,547",10.2,GWW,Donald G. Macpherson
273,Discover Financial Services,Commercial Banks,Riverwoods,Illinois,"20,200","$15,202","$25,635","$4,392",28.9,DFS,Roger C. Hochschild
274,Baxter International,Medical Products and Equipment,Deerfield,Illinois,"60,000","$15,113","$20,504","-$2,433",-16.1,BAX,Jose E Almeida
275,Southwestern Energy,"Mining, Crude-Oil Production",Spring,Texas,"1,118","$15,002","$5,506","$1,849",12.3,SWN,Bill Way
276,DCP Midstream,Pipelines,Denver,Colorado,"1,910","$14,993","$8,701","$1,052",7,DCP,
277,Jacobs Solutions,Engineering & Construction,Dallas,Texas,"58,350","$14,923","$14,890",$644,4.3,J,Bob Pragada
278,Laboratory Corp. of America,Health Care: Pharmacy and Other Services,Burlington,North Carolina,"75,200","$14,877","$20,304","$1,279",8.6,LH,Adam H. Schechter
279,CSX,Railroads,Jacksonville,Florida,"22,542","$14,853","$61,330","$4,166",28,CSX,Joseph R. Hinrichs
280,J.B. Hunt Transport Services,"Trucking, Truck Leasing",Lowell,Arkansas,"37,151","$14,814","$18,208",$969,6.5,JBHT,John N. Roberts Iii
281,Guardian Life Ins. Co. of America,"Insurance: Life, Health (Mutual)",New York,New York,"8,025","$14,653",,$71,0.5,,Andrew J. Mcmahon
282,Jackson Financial,"Insurance: Life, Health (Stock)",Lansing,Michigan,"3,435","$14,551","$3,078","$5,697",39.2,JXN,Laura L. Prieskorn
283,Fidelity National Information Services,Financial Data Services,Jacksonville,Florida,"69,000","$14,528","$32,160","-$16,720",-115.1,FIS,Stephanie Ferris
284,Berry Global Group,"Packaging, Containers",Evansville,Indiana,"46,000","$14,495","$7,151",$766,5.3,BERY,Thomas E. Salmon
285,Sempra,Utilities: Gas and Electric,San Diego,California,"15,785","$14,439","$47,563","$2,138",14.8,SRE,
286,IQVIA Holdings,Health Care: Pharmacy and Other Services,Durham,North Carolina,"86,000","$14,410","$37,022","$1,091",7.6,IQV,Ari Bousbib
287,O'Reilly Automotive,Specialty Retailers: Other,Springfield,Montana,"79,679","$14,410","$52,269","$2,173",15.1,ORLY,Gregory D. Johnson
288,Leidos Holdings,Information Technology Services,Reston,Virginia,"45,000","$14,396","$12,630",$685,4.8,LDOS,Thomas A. Bell
289,Ameriprise Financial,Diversified Financials,Minneapolis,Minnesota,"13,500","$14,347","$32,228","$2,559",17.8,AMP,James M. Cracchiolo
290,Omnicom Group,"Advertising, Marketing",New York,New York,"74,200","$14,289","$19,001","$1,317",9.2,OMC,John D. Wren
291,Tractor Supply,Specialty Retailers: Other,Brentwood,Tennessee,"36,500","$14,205","$25,830","$1,089",7.7,TSCO,Harry A. Lawton Iii
292,Corning,"Electronics, Electrical Equip.",Corning,New York,"57,500","$14,189","$29,890","$1,316",9.3,GLW,Wendell P. Weeks
293,Ecolab,Chemicals,St. Paul,Minnesota,"47,000","$14,188","$47,121","$1,092",7.7,ECL,Christophe Beck
294,Icahn Enterprises,Diversified Financials,Sunny Isles Beach,Florida,"20,041","$14,101","$18,283",-$183,-1.3,IEP,David Willetts
295,Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),Woodland Hills,California,"11,344","$14,092",,-$314,-2.2,,Raul Vargas
296,Keurig Dr Pepper,Beverages,Burlington,Massachusetts,"28,000","$14,057","$49,620","$1,436",10.2,KDP,Robert J. Gamgort
297,Loews,Insurance: Property and Casualty (Stock),New York,New York,"12,050","$14,044","$13,395","$1,012",7.2,L,James S. Tisch
298,Equitable Holdings,"Insurance: Life, Health (Stock)",New York,New York,"10,250","$14,017","$9,186","$1,785",12.7,EQH,Mark Pearson
299,Sonic Automotive,"Automotive Retailing, Services",Charlotte,North Carolina,"10,300","$14,001","$1,930",$89,0.6,SAH,David Bruton Smith
300,Fox,Entertainment,New York,New York,"10,600","$13,974","$17,551","$1,205",8.6,FOXA,Lachlan K. Murdoch
301,American Family Insurance Group,Insurance: Property and Casualty (Stock),Madison,Wisconsin,"12,990","$13,814",,"-$1,904",-13.8,,Bill Westrate
302,Entergy,Utilities: Gas and Electric,New Orleans,Louisiana,"11,707","$13,764","$22,851","$1,103",8,ETR,Andrew S. Marsh
303,Fluor,Engineering & Construction,Irving,Texas,"39,576","$13,744","$4,392",$145,1.1,FLR,David E. Constable
304,Vistra,Energy,Irving,Texas,"4,910","$13,728","$9,155","-$1,227",-8.9,VST,
305,State Street,Commercial Banks,Boston,Massachusetts,"42,226","$13,692","$26,074","$2,774",20.3,STT,Ronald P. O'Hanley
306,Otis Worldwide,Industrial Machinery,Farmington,Connecticut,"69,000","$13,685","$35,015","$1,253",9.2,OTIS,Judith F. Marks
307,Peter Kiewit Sons',Engineering & Construction,Omaha,Nebraska,"25,700","$13,663",,$710,5.2,,Rick Lanoha
308,Carvana,"Automotive Retailing, Services",Tempe,Arizona,"16,600","$13,604","$1,761","-$1,587",-11.7,CVNA,Ernest C. Garcia Iii
309,Republic Services,Waste Management,Phoenix,Arizona,"40,000","$13,511","$42,763","$1,488",11,RSG,Jon Vander Ark
310,AECOM,Engineering & Construction,Dallas,Texas,"50,000","$13,496","$11,716",$311,2.3,ACM,Troy Rudd
311,Universal Health Services,Health Care: Medical Facilities,King of Prussia,Pennsylvania,"82,500","$13,399","$8,982",$676,5,UHS,Marc D. Miller
312,Pacific Life,"Insurance: Life, Health (Stock)",Newport Beach,California,"3,950","$13,360",,$763,5.7,,Darryl Button
313,VMware,Computer Software,Palo Alto,California,"38,300","$13,350","$53,496","$1,314",9.8,VMW,Raghu Raghuram
314,Western & Southern Financial Group,"Insurance: Life, Health (Mutual)",Cincinnati,Ohio,"2,594","$13,156",,$309,2.4,,John F. Barrett
315,MGM Resorts International,"Hotels, Casinos, Resorts",Las Vegas,Nevada,"66,000","$13,128","$16,564","$1,473",11.2,MGM,William J. Hornbuckle
316,Casey's General Stores,Specialty Retailers: Other,Ankeny,Iowa,"31,466","$12,953","$8,066",$340,2.6,CASY,Darren Rebelez
317,Crown Holdings,"Packaging, Containers",Tampa,Florida,"26,000","$12,943","$9,934",$727,5.6,CCK,Timothy J. Donahue
318,Textron,Aerospace & Defense,Providence,Rhose Island,"34,000","$12,869","$14,385",$861,6.7,TXT,Scott C. Donnelly
319,LKQ,Wholesalers: Diversified,Chicago,Illinois,"45,000","$12,794","$15,171","$1,149",9,LKQ,Dominick P. Zarcone
320,Norfolk Southern,Railroads,Atlanta,Georgia,"19,300","$12,745","$48,257","$3,270",25.7,NSC,Alan H. Shaw
321,Intuit,Computer Software,Mountain View,California,"21,850","$12,726","$125,076","$2,066",16.2,INTU,Sasan K. Goodarzi
322,Air Products & Chemicals,Chemicals,Allentown,Pennsylvania,"20,805","$12,699","$63,784","$2,256",17.8,APD,Seifi Ghasemi
323,Boston Scientific,Medical Products and Equipment,Marlborough,Massachusetts,"45,000","$12,682","$71,910",$698,5.5,BSX,Michael F. Mahoney
324,AGCO,Construction and Farm Machinery,Duluth,Georgia,"25,600","$12,651","$10,119",$890,7,AGCO,Eric P. Hansotia
325,Henry Schein,Wholesalers: Health Care,Melville,New York,"22,000","$12,647","$10,705",$538,4.3,HSIC,Stanley M. Bergman
326,Amphenol,Network and Other Communications Equipment,Wallingford,Connecticut,"91,000","$12,623","$48,591","$1,902",15.1,APH,Adam Norwitt
327,AES,Utilities: Gas and Electric,Arlington,Virginia,"9,100","$12,617","$16,110",-$546,-4.3,AES,Andres R. Gluski
328,Mutual of Omaha Insurance,"Insurance: Life, Health (Mutual)",Omaha,Nebraska,"6,350","$12,531",,-$177,-1.4,,James T. Blackledge
329,Ovintiv,"Mining, Crude-Oil Production",Denver,Colorado,"1,744","$12,464","$8,772","$3,637",29.2,OVV,Brendan M. Mccracken
330,Hormel Foods,Food Consumer Products,Austin,Minnesota,"20,000","$12,459","$21,796","$1,000",8,HRL,Jim(James) Snee
331,Alcoa,Metals,Pittsburgh,Pennsylvania,"13,100","$12,451","$7,591",-$123,-1,AA,Roy C. Harvey
332,International Flavors & Fragrances,Chemicals,New York,New York,"24,600","$12,440","$23,456","-$1,871",-15,IFF,Frank Clyburn
333,Jones Financial (Edward Jones),Securities,Des Peres,Montana,"52,000","$12,411",,"$1,404",11.3,,Penny Pennington
334,Dick's Sporting Goods,Specialty Retailers: Other,Coraopolis,Pennsylvania,"35,800","$12,368","$12,148","$1,043",8.4,DKS,Lauren R. Hobart
335,Eversource Energy,Utilities: Gas and Electric,Springfield,Massachusetts,"9,626","$12,289","$27,287","$1,405",11.4,ES,Joseph R. Nolan
336,Wayfair,Internet Services and Retailing,Boston,Massachusetts,"15,745","$12,218","$3,796","-$1,331",-10.9,W,Niraj S. Shah
337,Community Health Systems,Health Care: Medical Facilities,Franklin,Tennessee,"58,500","$12,211",$670,$46,0.4,CYH,Tim L. Hingten
338,Ally Financial,Diversified Financials,Detroit,Michigan,"11,600","$12,199","$7,668","$1,714",14.1,ALLY,Jeffrey J. Brown
339,Regeneron Pharmaceuticals,Pharmaceuticals,Tarrytown,New York,"11,851","$12,173","$89,830","$4,338",35.6,REGN,Leonard S. Schleifer
340,Liberty Media,Entertainment,Englewood,Colorado,"7,283","$12,164","$9,130","$1,815",14.9,LSXMA,Gregory B. Maffei
341,APA,"Mining, Crude-Oil Production",Houston,Texas,"2,273","$12,132","$11,213","$3,674",30.3,APA,John J. Christmann Iv
342,Qurate Retail,Internet Services and Retailing,Englewood,Colorado,"24,683","$12,106",$406,"-$2,594",-21.4,QRTEA,David Rawlinson Ii
343,FirstEnergy,Utilities: Gas and Electric,Akron,Ohio,"12,335","$12,053","$22,924",$406,3.4,FE,Brian X. Tierney
344,Analog Devices,Semiconductors and Other Electronic Components,Wilmington,Massachusetts,"24,450","$12,014","$99,764","$2,749",22.9,ADI,Vincent T. Roche
345,Ryder System,Transportation and Logistics,Miami,Florida,"48,300","$12,011","$4,147",$867,7.2,R,Robert E. Sanchez
346,Avis Budget Group,"Automotive Retailing, Services",Parsippany,New Jersey,"21,500","$11,994","$7,689","$2,764",23,CAR,Joseph A. Ferraro
347,Unum Group,"Insurance: Life, Health (Stock)",Chattanooga,Tennessee,"10,801","$11,991","$7,805","$1,314",11,UNM,Richard P. Mckenney
348,Newmont,"Mining, Crude-Oil Production",Denver,Colorado,"14,600","$11,915","$38,947",-$429,-3.6,NEM,Thomas R. Palmer
349,VF,Apparel,Denver,Colorado,"27,650","$11,842","$8,904","$1,387",11.7,VFC,Benno Dorer
350,Chesapeake Energy,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,"1,200","$11,743","$10,244","$4,936",42,CHK,Nick Dell'Osso
351,Mohawk Industries,"Home Equipment, Furnishings",Calhoun,Georgia,"40,900","$11,737","$6,368",$25,0.2,MHK,Jeffrey S. Lorberbaum
352,Markel,Insurance: Property and Casualty (Stock),Glen Allen,Virginia,"20,900","$11,675","$17,094",-$214,-1.8,MKL,Thomas S. Gayner
353,Expedia Group,Internet Services and Retailing,Seattle,Washington,"16,500","$11,667","$14,879",$352,3,EXPE,Peter M. Kern
354,Caesars Entertainment,"Hotels, Casinos, Resorts",Reno,Nevada,"49,000","$11,647","$10,503",-$899,-7.7,CZR,Thomas R. Reeg
355,United Rentals,Equipment Leasing,Stamford,Connecticut,"24,600","$11,642","$27,460","$2,105",18.1,URI,Matthew J. Flannery
356,Apollo Global Management,Securities,New York,New York,"4,258","$11,627","$36,042","-$3,213",-27.6,APO,Marc Rowan
357,DaVita,Health Care: Medical Facilities,Denver,Colorado,"70,000","$11,610","$7,332",$560,4.8,DVA,Javier J. Rodriguez
358,Hess,"Mining, Crude-Oil Production",New York,New York,"1,623","$11,570","$40,520","$2,096",18.1,HES,John B. Hess
359,Fidelity National Financial,Insurance: Property and Casualty (Stock),Jacksonville,Florida,"21,759","$11,556","$9,508","$1,136",9.8,FNF,Mike Nolan
360,Conagra Brands,Food Consumer Products,Chicago,Illinois,"18,000","$11,536","$17,902",$888,7.7,CAG,Sean M. Connolly
361,Univar Solutions,Wholesalers: Diversified,Downers Grove,Illinois,"9,746","$11,475","$5,521",$545,4.8,UNVR,David C. Jukes
362,Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),Lansing,Michigan,"6,733","$11,407",,-$55,-0.5,,Jamie Whisnant
363,Raymond James Financial,Securities,St. Petersburg,Florida,"17,000","$11,308","$20,086","$1,509",13.3,RJF,Paul C. Reilly
364,Seaboard,Food Production,Merriam,Kansas,"12,614","$11,243","$4,376",$580,5.2,SEB,Robert L. Steer
365,CF Industries Holdings,Chemicals,Deerfield,Illinois,"2,659","$11,186","$14,206","$3,346",29.9,CF,Tony Will
366,S&P Global,Financial Data Services,New York,New York,"39,950","$11,181","$113,066","$3,248",29,SPGI,Douglas L. Peterson
367,W.R. Berkley,Insurance: Property and Casualty (Stock),Greenwich,Connecticut,"8,186","$11,167","$16,402","$1,381",12.4,WRB,Robert Berkley
368,Advance Auto Parts,Specialty Retailers: Other,Raleigh,North Carolina,"53,500","$11,155","$7,208",$502,4.5,AAP,Thomas R. Greco
369,EMCOR Group,Engineering & Construction,Norwalk,Connecticut,"35,500","$11,076","$7,754",$406,3.7,EME,
370,Williams,Pipelines,Tulsa,Oklahoma,"5,043","$10,965","$36,394","$2,049",18.7,WMB,Alan S. Armstrong
371,Interpublic Group,"Advertising, Marketing",New York,New York,"58,400","$10,928","$14,341",$938,8.6,IPG,Phillippe Krakowsky
372,TravelCenters of America,Specialty Retailers: Other,Westlake,Ohio,"17,195","$10,845","$1,306",$164,1.5,TA,Jonathan M. Pertchik
373,American Tower,Real Estate,Boston,Massachusetts,"6,391","$10,711","$95,150","$1,766",16.5,AMT,Thomas A. Bartlett
374,Molson Coors Beverage,Beverages,Chicago,Illinois,"16,600","$10,701","$11,360",-$175,-1.6,TAP,Gavin D.K. Hattersley
375,Huntington Ingalls Industries,Aerospace & Defense,Newport News,Virginia,"43,000","$10,676","$8,265",$579,5.4,HII,Christopher D. Kastner
376,NVR,Homebuilders,Reston,Virginia,"6,550","$10,580","$18,096","$1,726",16.3,NVR,Eugene J. Bredow
377,Eastman Chemical,Chemicals,Kingsport,Tennessee,"14,500","$10,580","$10,048",$793,7.5,EMN,
378,Graybar Electric,Wholesalers: Diversified,St. Louis,Montana,"9,400","$10,534",,$453,4.3,,Kathleen M. Mazzarella
379,Insight Enterprises,Information Technology Services,Chandler,Arizona,"13,448","$10,431","$4,833",$281,2.7,NSIT,Joyce Mullen
380,Hershey,Food Consumer Products,Hershey,Pennsylvania,"18,970","$10,419","$51,909","$1,645",15.8,HSY,Michele G. Buck
381,News Corp.,"Publishing, Printing",New York,New York,"25,500","$10,385","$9,972",$623,6,NWSA,Robert J. Thomson
382,Toll Brothers,Homebuilders,Fort Washington,Pennsylvania,"5,200","$10,276","$6,647","$1,287",12.5,TOL,Douglas C. Yearley Jr.
383,Ulta Beauty,Specialty Retailers: Other,Bolingbrook,Illinois,"35,750","$10,209","$27,390","$1,242",12.2,ULTA,David C. Kimbell
384,Assurant,Insurance: Property and Casualty (Stock),Atlanta,Georgia,"13,700","$10,193","$6,354",$277,2.7,AIZ,Keith W. Demmings
385,Weyerhaeuser,Forest and Paper Products,Seattle,Washington,"9,264","$10,184","$22,082","$1,880",18.5,WY,Devin W. Stockfish
386,Biogen,Pharmaceuticals,Cambridge,Massachusetts,"8,725","$10,173","$40,171","$3,047",29.9,BIIB,Christopher A. Viehbacher
387,Dana,Motor Vehicles & Parts,Maumee,Ohio,"41,800","$10,156","$2,172",-$242,-2.4,DAN,James K. Kamsickas
388,UGI,Utilities: Gas and Electric,King of Prussia,Pennsylvania,"10,000","$10,106","$7,284","$1,073",10.6,UGI,Roger Perreault
389,Chewy,Internet Services and Retailing,Plantation,Florida,"19,400","$10,099","$15,959",$49,0.5,CHWY,Sumit Singh
390,Owens & Minor,Wholesalers: Health Care,Mechanicsville,Virginia,"22,500","$9,956","$1,109",$22,0.2,OMI,Edward A. Pesicka
391,Quest Diagnostics,Health Care: Pharmacy and Other Services,Secaucus,New Jersey,"44,500","$9,883","$15,750",$946,9.6,DGX,James E. Davis
392,Public Service Enterprise Group,Utilities: Gas and Electric,Newark,New Jersey,"12,525","$9,800","$31,148","$1,031",10.5,PEG,Ralph A. Larossa
393,Ebay,Internet Services and Retailing,San Jose,California,"11,600","$9,795","$23,821","-$1,269",-13,EBAY,Jamie Iannone
394,MasTec,Engineering & Construction,Coral Gables,Florida,"32,000","$9,778","$7,441",$33,0.3,MTZ,Jose R. Mas
395,Owens Corning,"Building Materials, Glass",Toledo,Ohio,"19,000","$9,761","$8,697","$1,241",12.7,OC,Brian D. Chambers
396,Celanese,Chemicals,Irving,Texas,"13,263","$9,673","$12,068","$1,894",19.6,CE,Lori J. Ryerkerk
397,Altice USA,Telecommunications,Long Island City,New York,"11,000","$9,648","$1,560",$195,2,ATUS,Dennis Mathew
398,Alaska Air Group,Airlines,Seattle,Washington,"24,196","$9,646","$5,348",$58,0.6,ALK,Benito Minicucci
399,SpartanNash,Wholesalers: Food and Grocery,Byron Center,Michigan,"14,000","$9,643",$870,$35,0.4,SPTN,Tony Sarsam
400,Diamondback Energy,"Mining, Crude-Oil Production",Midland,Texas,972,"$9,643","$24,816","$4,386",45.5,FANG,Travis D. Stice
401,Intercontinental Exchange,Securities,Atlanta,Georgia,"8,911","$9,636","$58,372","$1,446",15,ICE,Jeffrey C. Sprecher
402,Darden Restaurants,Food Services,Orlando,Florida,"178,956","$9,630","$18,884",$953,9.9,DRI,Rick Cardenas
403,UFP Industries,"Building Materials, Glass",Grand Rapids,Michigan,"15,500","$9,627","$4,964",$693,7.2,UFPI,Matthew J. Missad
404,WEC Energy Group,Utilities: Gas and Electric,Milwaukee,Wisconsin,"7,022","$9,597","$29,900","$1,408",14.7,WEC,Scott J. Lauber
405,Yum China Holdings,Food Services,Plano,Texas,"275,500","$9,569","$26,517",$442,4.6,YUMC,Joey Wat
406,EnLink Midstream,Pipelines,Dallas,Texas,"1,132","$9,542","$5,102",$361,3.8,ENLC,Jesse Arenivas
407,Continental Resources,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,"1,404","$9,474",,"$4,025",42.5,,Robert D. Lawler
408,Newell Brands,"Home Equipment, Furnishings",Atlanta,Georgia,"28,000","$9,459","$5,145",$197,2.1,NWL,Christopher H. Peterson
409,Graphic Packaging Holding,"Packaging, Containers",Atlanta,Georgia,"24,000","$9,440","$7,829",$522,5.5,GPK,Michael Doss
410,Olin,Chemicals,Clayton,Montana,"7,780","$9,376","$7,263","$1,327",14.2,OLN,Scott M. Sutton
411,Fifth Third Bancorp,Commercial Banks,Cincinnati,Ohio,"19,319","$9,353","$18,143","$2,446",26.2,FITB,Tim Spence
412,Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)",Minneapolis,Minnesota,"3,692","$9,347",,"$1,085",11.6,,Teresa J. Rasmussen
413,CenterPoint Energy,Utilities: Gas and Electric,Houston,Texas,"8,986","$9,321","$18,589","$1,057",11.3,CNP,David J. Lesar
414,Erie Insurance Group,Insurance: Property and Casualty (Mutual),Erie,Pennsylvania,"5,997","$9,296",,-$577,-6.2,,Timothy G. Necastro
415,CommScope Holding,Network and Other Communications Equipment,Hickory,North Carolina,"30,000","$9,228","$1,336","-$1,287",-13.9,COMM,Charles L. Treadway
